,dataset,robot,identifier,type,acc?error,max_error,final_error,time
0,data/MRCLAM_Dataset4,Robot4,d4r4,GraphSLAM,33.96436122302797,51.351700441659084,35.3351533063961,37.1566757599976
1,data/MRCLAM_Dataset4,Robot4,d4r4,FastSLAM,0.4185515869597253,1.2004417933068128,1.2004417933068128,7.433075524000742
2,data/MRCLAM_Dataset4,Robot4,d4r4,EKF_SLAM,0.6048866507453944,1.56608911858669,1.0197148520190398,0.3547279119993618
3,data/MRCLAM_Dataset4,Robot3,d4r3,GraphSLAM,0.40944241563479994,0.8571138483037068,0.8569840703957367,37.12786653299918
4,data/MRCLAM_Dataset4,Robot3,d4r3,FastSLAM,0.2721303214581523,0.3862442341477086,0.3856268271607815,9.223071069998696
5,data/MRCLAM_Dataset4,Robot3,d4r3,EKF_SLAM,0.2344742194204678,0.43626728876887927,0.43626728876887927,0.39948748700044234
6,data/MRCLAM_Dataset4,Robot2,d4r2,GraphSLAM,2.6107956773601377,15.50110279918906,5.393229244157706,49.16641307700047
7,data/MRCLAM_Dataset4,Robot2,d4r2,FastSLAM,0.1702552371903606,0.4203099495890511,0.4203099495890511,2.8411778610025067
8,data/MRCLAM_Dataset4,Robot2,d4r2,EKF_SLAM,0.1920255492399962,0.5834644349367715,0.5834644349367715,0.3708301250007935
9,data/MRCLAM_Dataset4,Robot1,d4r1,GraphSLAM,41.34943261843553,84.58401546031382,82.21819399203217,41.052875943998515
10,data/MRCLAM_Dataset4,Robot1,d4r1,FastSLAM,0.1000191623841266,0.15164699201423693,0.09060130451236945,7.350424833002762
11,data/MRCLAM_Dataset4,Robot1,d4r1,EKF_SLAM,0.12827565287866624,0.19976801450063567,0.14199658300301693,0.3719541450009274
12,data/MRCLAM_Dataset3,Robot4,d3r4,GraphSLAM,31.242601618374028,47.15853424898857,47.15853424898857,43.00152515099762
13,data/MRCLAM_Dataset3,Robot4,d3r4,FastSLAM,0.19827839699950095,0.2899401042673084,0.28294624185308553,4.964308970997081
14,data/MRCLAM_Dataset3,Robot4,d3r4,EKF_SLAM,0.29238461816909633,0.3754897365669002,0.2621834640919987,0.4559111779999512
15,data/MRCLAM_Dataset3,Robot3,d3r3,GraphSLAM,7.581532368895983,22.815896503011732,1.8833237888696397,43.884141765000095
16,data/MRCLAM_Dataset3,Robot3,d3r3,FastSLAM,0.1290359593521888,0.21266880606947783,0.17529219363834564,4.582564776999789
17,data/MRCLAM_Dataset3,Robot3,d3r3,EKF_SLAM,0.13572523532534164,0.21445666760736107,0.1811356631925231,0.42844877900279243
18,data/MRCLAM_Dataset3,Robot2,d3r2,GraphSLAM,0.7242333860352952,0.9587813228486607,0.7394861810987458,40.65858779200062
19,data/MRCLAM_Dataset3,Robot2,d3r2,FastSLAM,0.11433574174905452,0.16559845855527647,0.11372809670433404,9.74222617399937
20,data/MRCLAM_Dataset3,Robot2,d3r2,EKF_SLAM,0.17803399861426109,0.29273294658104493,0.24585826313877251,1.0722161710000364
21,data/MRCLAM_Dataset3,Robot1,d3r1,GraphSLAM,0.11513496314077801,0.18863469316819104,0.1598993436068017,50.7494097710005
